
 num     #instances         #bytes  class name
----------------------------------------------
   1:          2724         340488  [C
   2:          2582          61968  java.lang.String
   3:           535          60888  java.lang.Class
   4:           576          32424  [Ljava.lang.Object;
   5:           791          31640  java.util.TreeMap$Entry
   6:            27          26656  [B
   7:           196           8072  [Ljava.lang.String;
   8:            79           5688  java.lang.reflect.Field
   9:            73           4672  java.net.URL
  10:           256           4096  java.lang.Integer
  11:            98           3920  java.lang.ref.SoftReference
  12:           118           3776  java.util.Hashtable$Entry
  13:            10           3760  java.lang.Thread
  14:            97           3680  [I
  15:            83           2656  java.util.HashMap$Node
  16:            77           2464  java.util.concurrent.ConcurrentHashMap$Node
  17:            35           1960  sun.misc.URLClassPath$JarLoader
  18:            38           1824  sun.util.locale.LocaleObjectCache$CacheEntry
  19:            15           1520  [Ljava.util.HashMap$Node;
  20:            18           1440  java.lang.reflect.Constructor
  21:            36           1440  java.util.LinkedHashMap$Entry
  22:            16           1408  java.lang.reflect.Method
  23:            32           1280  java.lang.ref.Finalizer
  24:            14           1120  [Ljava.util.WeakHashMap$Entry;
  25:            69           1104  java.lang.Object
  26:             2           1064  [Ljava.lang.invoke.MethodHandle;
  27:            19           1064  java.lang.Class$ReflectionData
  28:             7           1056  [Ljava.util.Hashtable$Entry;
  29:            33           1056  com.intellij.rt.debugger.agent.CaptureAgent$InstrumentPoint
  30:             1           1040  [Ljava.lang.Integer;
  31:             1           1040  [[C
  32:            26           1040  java.io.ObjectStreamField
  33:            36            864  java.io.ExpiringCache$Entry
  34:            18            864  java.util.HashMap
  35:            19            760  sun.util.locale.BaseLocale$Key
  36:            13            728  sun.nio.cs.UTF_8$Encoder
  37:            11            704  java.util.jar.JarFile
  38:            14            672  java.util.WeakHashMap
  39:             5            656  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  40:            27            648  java.util.ArrayList
  41:             8            640  [S
  42:            19            608  java.lang.ref.ReferenceQueue
  43:            19            608  java.util.Locale
  44:            19            608  sun.util.locale.BaseLocale
  45:             6            576  java.util.jar.JarFile$JarFileEntry
  46:            14            560  java.security.AccessControlContext
  47:            26            552  [Ljava.lang.Class;
  48:             8            456  [Ljava.lang.reflect.Field;
  49:            19            456  java.util.Locale$LocaleKey
  50:             7            448  java.util.concurrent.ConcurrentHashMap
  51:            13            416  java.io.File
  52:             7            392  java.util.zip.ZipFile$ZipFileInputStream
  53:             1            384  java.lang.ref.Finalizer$FinalizerThread
  54:             6            384  java.nio.DirectByteBuffer
  55:             1            376  java.lang.ref.Reference$ReferenceHandler
  56:            11            352  java.util.zip.ZipCoder
  57:            21            336  java.lang.ref.ReferenceQueue$Lock
  58:             6            336  java.nio.DirectLongBufferU
  59:             8            320  java.io.FileDescriptor
  60:            10            320  java.lang.OutOfMemoryError
  61:             8            320  sun.nio.cs.UTF_8$Decoder
  62:            10            288  [Ljava.io.ObjectStreamField;
  63:             9            288  org.jetbrains.capture.org.objectweb.asm.Type
  64:            12            288  sun.misc.MetaIndex
  65:            11            264  java.util.ArrayDeque
  66:             6            240  java.util.WeakHashMap$Entry
  67:             9            216  [Ljava.lang.reflect.Constructor;
  68:             9            216  ListNode
  69:             9            216  sun.reflect.NativeConstructorAccessorImpl
  70:             4            192  java.util.Hashtable
  71:             4            192  java.util.TreeMap
  72:             6            192  java.util.Vector
  73:             5            160  java.io.FileInputStream
  74:             6            144  java.util.LinkedList$Node
  75:             3            144  java.util.Properties
  76:             6            144  sun.misc.PerfCounter
  77:             9            144  sun.reflect.DelegatingConstructorAccessorImpl
  78:             2            128  java.io.ExpiringCache$1
  79:             4            128  java.util.LinkedList
  80:             3            120  java.security.ProtectionDomain
  81:             2            112  java.util.zip.ZipFile$ZipFileInflaterInputStream
  82:             2             96  [Ljava.lang.reflect.Method;
  83:             3             96  java.io.FileOutputStream
  84:             2             96  java.lang.ThreadGroup
  85:             3             96  java.lang.ThreadLocal$ThreadLocalMap$Entry
  86:             2             96  java.nio.HeapByteBuffer
  87:             3             96  java.security.CodeSource
  88:             3             96  java.util.Stack
  89:             2             96  java.util.zip.Inflater
  90:             1             96  sun.misc.Launcher$AppClassLoader
  91:             2             96  sun.misc.URLClassPath
  92:             2             96  sun.nio.cs.StreamEncoder
  93:             1             88  sun.misc.Launcher$ExtClassLoader
  94:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  95:             2             80  java.io.BufferedWriter
  96:             2             80  java.io.ExpiringCache
  97:             2             80  java.lang.ClassLoader$NativeLibrary
  98:             5             80  java.lang.ThreadLocal
  99:             3             72  java.lang.RuntimePermission
 100:             3             72  java.util.Collections$SynchronizedSet
 101:             3             72  java.util.concurrent.atomic.AtomicLong
 102:             2             64  [Ljava.lang.Thread;
 103:             2             64  java.io.PrintStream
 104:             2             64  java.lang.ClassValue$Entry
 105:             2             64  java.lang.VirtualMachineError
 106:             2             64  java.lang.ref.ReferenceQueue$Null
 107:             1             64  sun.nio.cs.ext.DoubleByte$Encoder
 108:             1             56  sun.nio.cs.ext.DoubleByte$Decoder
 109:             1             48  [J
 110:             3             48  [Ljava.security.Principal;
 111:             3             48  MyLinkedList
 112:             2             48  java.io.BufferedOutputStream
 113:             2             48  java.io.File$PathStatus
 114:             2             48  java.io.OutputStreamWriter
 115:             2             48  java.nio.charset.CoderResult
 116:             3             48  java.nio.charset.CodingErrorAction
 117:             3             48  java.security.ProtectionDomain$Key
 118:             3             48  java.util.HashSet
 119:             2             48  java.util.zip.ZStreamRef
 120:             2             48  sun.instrument.TransformerManager
 121:             2             48  sun.misc.NativeSignalHandler
 122:             2             48  sun.misc.Signal
 123:             2             40  [Lsun.instrument.TransformerManager$TransformerInfo;
 124:             1             40  java.io.BufferedInputStream
 125:             1             40  sun.nio.cs.StandardCharsets$Aliases
 126:             1             40  sun.nio.cs.StandardCharsets$Cache
 127:             1             40  sun.nio.cs.StandardCharsets$Classes
 128:             1             40  sun.nio.cs.ext.ExtendedCharsets
 129:             1             32  [Ljava.lang.OutOfMemoryError;
 130:             2             32  [Ljava.lang.StackTraceElement;
 131:             1             32  [Ljava.lang.ThreadGroup;
 132:             2             32  com.intellij.rt.debugger.agent.CaptureAgent$ParamKeyProvider
 133:             1             32  java.io.FilePermission
 134:             1             32  java.io.WinNTFileSystem
 135:             1             32  java.lang.ArithmeticException
 136:             2             32  java.lang.Boolean
 137:             1             32  java.lang.NullPointerException
 138:             1             32  java.lang.StringCoding$StringDecoder
 139:             1             32  java.lang.StringCoding$StringEncoder
 140:             1             32  java.lang.ref.WeakReference
 141:             2             32  java.nio.ByteOrder
 142:             1             32  java.security.BasicPermissionCollection
 143:             1             32  java.security.Permissions
 144:             2             32  java.util.concurrent.atomic.AtomicInteger
 145:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 146:             1             32  sun.instrument.InstrumentationImpl
 147:             2             32  sun.net.www.protocol.jar.Handler
 148:             1             32  sun.nio.cs.StandardCharsets
 149:             1             24  [Ljava.io.File$PathStatus;
 150:             1             24  [Ljava.lang.ClassValue$Entry;
 151:             1             24  [Lsun.launcher.LauncherHelper;
 152:             1             24  com.intellij.rt.debugger.agent.CaptureAgent$FieldKeyProvider
 153:             1             24  java.io.FilePermissionCollection
 154:             1             24  java.lang.ClassValue$Version
 155:             1             24  java.lang.StringBuilder
 156:             1             24  java.lang.ThreadLocal$ThreadLocalMap
 157:             1             24  java.lang.invoke.MethodHandleImpl$4
 158:             1             24  java.lang.reflect.ReflectPermission
 159:             1             24  java.util.BitSet
 160:             1             24  java.util.Collections$EmptyMap
 161:             1             24  java.util.Collections$SetFromMap
 162:             1             24  java.util.Collections$UnmodifiableRandomAccessList
 163:             1             24  java.util.Locale$Cache
 164:             1             24  sun.instrument.TransformerManager$TransformerInfo
 165:             1             24  sun.launcher.LauncherHelper
 166:             1             24  sun.misc.JarIndex
 167:             1             24  sun.misc.URLClassPath$FileLoader
 168:             1             24  sun.nio.cs.ISO_8859_1
 169:             1             24  sun.nio.cs.ThreadLocalCoders$1
 170:             1             24  sun.nio.cs.ThreadLocalCoders$2
 171:             1             24  sun.nio.cs.US_ASCII
 172:             1             24  sun.nio.cs.UTF_16
 173:             1             24  sun.nio.cs.UTF_16BE
 174:             1             24  sun.nio.cs.UTF_16LE
 175:             1             24  sun.nio.cs.UTF_8
 176:             1             24  sun.nio.cs.ext.GBK
 177:             1             24  sun.reflect.NativeMethodAccessorImpl
 178:             1             24  sun.util.locale.BaseLocale$Cache
 179:             1             16  [Ljava.lang.Throwable;
 180:             1             16  [Ljava.security.cert.Certificate;
 181:             1             16  com.intellij.rt.debugger.agent.CaptureAgent$1
 182:             1             16  com.intellij.rt.debugger.agent.CaptureAgent$CaptureTransformer
 183:             1             16  com.intellij.rt.debugger.agent.CaptureStorage$1
 184:             1             16  java.io.FileDescriptor$1
 185:             1             16  java.lang.CharacterDataLatin1
 186:             1             16  java.lang.ClassValue$Identity
 187:             1             16  java.lang.Runtime
 188:             1             16  java.lang.String$CaseInsensitiveComparator
 189:             1             16  java.lang.System$2
 190:             1             16  java.lang.Terminator$1
 191:             1             16  java.lang.invoke.MemberName$Factory
 192:             1             16  java.lang.invoke.MethodHandleImpl$2
 193:             1             16  java.lang.invoke.MethodHandleImpl$3
 194:             1             16  java.lang.ref.Reference$1
 195:             1             16  java.lang.ref.Reference$Lock
 196:             1             16  java.lang.reflect.ReflectAccess
 197:             1             16  java.net.URLClassLoader$7
 198:             1             16  java.nio.Bits$1
 199:             1             16  java.nio.charset.CoderResult$1
 200:             1             16  java.nio.charset.CoderResult$2
 201:             1             16  java.security.ProtectionDomain$2
 202:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl
 203:             1             16  java.util.Collections$EmptyList
 204:             1             16  java.util.Collections$EmptySet
 205:             1             16  java.util.Hashtable$EntrySet
 206:             1             16  java.util.WeakHashMap$KeySet
 207:             1             16  java.util.concurrent.atomic.AtomicBoolean
 208:             1             16  java.util.jar.JavaUtilJarAccessImpl
